GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,#indicator+value+num,,,,,
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/157,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,,2000,2000,,,LKA,Sri Lanka,,,,,,,,GHE060,Noncommunicable diseases,,,,,"24,361",24361.23047,,,,,
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/157,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,2012,2012,,,LKA,Sri Lanka,,,,,,,,GHE000,All Causes,,,,,"28,527",28526.51953,,,,,
WHS2_126,Distribution of years of life lost by major cause group,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/90,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,,2000,2000,,,LKA,Sri Lanka,,,,,,,,GHE151,Injuries,,,,,31,31.00000,,,,,
WHS2_126,Distribution of years of life lost by major cause group,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/90,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,2012,2012,,,LKA,Sri Lanka,,,,,,,,GHE060,Noncommunicable diseases,,,,,65,65.00000,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,,2001,2001,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,93,92.57877,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2002,2002,,SEAR,South-East Asia,,,2002,2002,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,210,209.81880,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,123,123.31650,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,,2005,2005,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,198,197.91310,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,,2006,2006,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,145,144.72690,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2007,2007,,SEAR,South-East Asia,,,2007,2007,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,79,78.80904,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,,2009,2009,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,179,178.98940,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,74,73.63220,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,2012,2012,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,131,131.05880,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,,2013,2013,,,LKA,Sri Lanka,,,,,FMLE,Female,,,,,,,,74,74.37561,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,,2015,2015,,,LKA,Sri Lanka,,,,,MLE,Male,,,,,,,,190,189.75960,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,,2015,2015,,,LKA,Sri Lanka,,,,,BTSX,Both sexes,,,,,,,,131,131.11000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,,2000,2000,,,LKA,Sri Lanka,,MONTHS1-59,1-59 months,,,,,,,,CH2,HIV/AIDS,,0,0.00249,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,,2000,2000,,,LKA,Sri Lanka,,MONTHS1-59,1-59 months,,,,,,,,CH3,Diarrhoeal diseases,,0.1,0.10603,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,,2000,2000,,,LKA,Sri Lanka,,MONTHS1-59,1-59 months,,,,,,,,CH5,Tetanus,,0,0.00011,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,,2000,2000,,,LKA,Sri Lanka,,MONTHS1-59,1-59 months,,,,,,,,CH6,Measles,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,,2000,2000,,,LKA,Sri Lanka,,MONTHS1-59,1-59 months,,,,,,,,CH7,Meningitis/encephalitis,,0,0.02617,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,,2000,2000,,,LKA,Sri Lanka,,MONTHS1-59,1-59 months,,,,,,,,CH8,Malaria,,0,0.00712,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,,2000,2000,,,LKA,Sri Lanka,,YEARS0-4,0-4 years,,,,,,,,CH11,Birth asphyxia and birth trauma,,0.1,0.07816,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,,2000,2000,,,LKA,Sri Lanka,,YEARS0-4,0-4 years,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0,0.03635,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,,2000,2000,,,LKA,Sri Lanka,,YEARS0-4,0-4 years,,,,,,,,CH13,Other Group 1 (postneonatal only),,0.1,0.10422,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,,2000,2000,,,LKA,Sri Lanka,,YEARS0-4,0-4 years,,,,,,,,CH15,Congenital anomalies,,0.2,0.22651,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,,2000,2000,,,LKA,Sri Lanka,,YEARS0-4,0-4 years,,,,,,,,CH16,Other noncommunicable diseases (postneonatal only),,0.1,0.07823,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,,2000,2000,,,LKA,Sri Lanka,,YEARS0-4,0-4 years,,,,,,,,CH17,Injuries,,0.1,0.08882,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,,2001,2001,,,LKA,Sri Lanka,,DAYS0-27,0-27 days,,,,,,,,CH6,Measles,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,,2001,2001,,,LKA,Sri Lanka,,DAYS0-27,0-27 days,,,,,,,,CH7,Meningitis/encephalitis,,0,0.00421,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,,2001,2001,,,LKA,Sri Lanka,,DAYS0-27,0-27 days,,,,,,,,CH8,Malaria,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,,2001,2001,,,LKA,Sri Lanka,,DAYS0-27,0-27 days,,,,,,,,CH9,Acute lower respiratory infections,,0.1,0.05464,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,,2001,2001,,,LKA,Sri Lanka,,DAYS0-27,0-27 days,,,,,,,,CH10,Prematurity,,0.4,0.35217,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,,2001,2001,,,LKA,Sri Lanka,,DAYS0-27,0-27 days,,,,,,,,CH11,Birth asphyxia and birth trauma,,0.1,0.12893,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,,2001,2001,,,LKA,Sri Lanka,,DAYS0-27,0-27 days,,,,,,,,CH12,Sepsis and other infectious conditions of the newborn,,0.1,0.06155,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,,2001,2001,,,LKA,Sri Lanka,,MONTHS1-59,1-59 months,,,,,,,,CH15,Congenital anomalies,,0.2,0.22707,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,,2001,2001,,,LKA,Sri Lanka,,MONTHS1-59,1-59 months,,,,,,,,CH16,Other noncommunicable diseases (postneonatal only),,0.2,0.19302,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,,2001,2001,,,LKA,Sri Lanka,,MONTHS1-59,1-59 months,,,,,,,,CH17,Injuries,,0.2,0.20081,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,SEAR,South-East Asia,,,2002,2002,,,LKA,Sri Lanka,,MONTHS1-59,1-59 months,,,,,,,,CH2,HIV/AIDS,,0,0.00204,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,SEAR,South-East Asia,,,2002,2002,,,LKA,Sri Lanka,,MONTHS1-59,1-59 months,,,,,,,,CH3,Diarrhoeal diseases,,0.1,0.09673,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,SEAR,South-East Asia,,,2002,2002,,,LKA,Sri Lanka,,MONTHS1-59,1-59 months,,,,,,,,CH5,Tetanus,,0,0.00008,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,SEAR,South-East Asia,,,2002,2002,,,LKA,Sri Lanka,,MONTHS1-59,1-59 months,,,,,,,,CH6,Measles,,0,0.00000,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,SEAR,South-East Asia,,,2002,2002,,,LKA,Sri Lanka,,YEARS0-4,0-4 years,,,,,,,,CH9,Acute lower respiratory infections,,0.1,0.12160,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,SEAR,South-East Asia,,,2002,2002,,,LKA,Sri Lanka,,YEARS0-4,0-4 years,,,,,,,,CH10,Prematurity,,0.2,0.16710,,,,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/89,PUBLISHED,Published,,2002,2002,,SEAR,South-East Asia,,,2002,2002,,,LKA,Sri Lanka,,YEARS0-4,0-4 years,,,,,,,,CH11,Birth asphyxia and birth trauma,,0.1,0.06292,,,,,
